id,title,year,doi,n_citation,doc_type,reference_count,references
941,Hear onto ten.,1997,https://doi.org/10.1000/177289,267,Journal,40,1809;962;583;1758;881;1576;1972
942,Ahead recently clear ahead seek.,1994,https://doi.org/10.1000/410739,378,Journal,5,1218;594;922;772;1852;325;24;918
943,Defense war near success position magazine.,2011,https://doi.org/10.1000/443579,351,Conference,6,735;1224;327;959;1553;1026;612
944,Popular newspaper college simply note include.,2019,https://doi.org/10.1000/443754,218,Journal,8,37;886
945,Debate father card several work along.,2013,https://doi.org/10.1000/782986,258,Conference,17,651;1554;401;1502;1003;766;1972;1663;1203
946,So others process least.,2024,https://doi.org/10.1000/773507,248,Journal,50,807;93;50;772
947,Far culture activity dinner by actually.,2011,https://doi.org/10.1000/303769,489,Journal,42,1548;1311;1908;193;1270;918
948,All boy special party.,1992,https://doi.org/10.1000/995808,462,Journal,40,1445;1491;571;1456;1122;1918;1744;1487
949,Ability the social meet.,1997,https://doi.org/10.1000/815114,74,Journal,4,655
950,Act along trial purpose individual.,2019,https://doi.org/10.1000/861162,174,Conference,28,1733;784;197;179;1587
951,Go listen attention.,2006,https://doi.org/10.1000/515838,114,Journal,23,1963
952,Charge idea pressure pick laugh process.,2016,https://doi.org/10.1000/785926,493,Conference,15,635;1797;1159;902;191;257;828;528;1632
953,Majority his perhaps.,2020,https://doi.org/10.1000/948574,244,Journal,5,1890
954,Cover marriage age institution.,1998,https://doi.org/10.1000/807154,43,Conference,16,1551;1840;1273;1308;1095;1991;1661
955,Myself local social away.,2022,https://doi.org/10.1000/560114,196,Conference,36,118;413;548;528;1734;504
956,Teach adult fact black.,2023,https://doi.org/10.1000/614643,474,Journal,2,698;1132;1796;1037;241;1014
957,Stage up professional democratic together arrive.,1996,https://doi.org/10.1000/401734,427,Journal,13,1417;679;1719;967
958,Direction ago whose million age.,2017,https://doi.org/10.1000/597183,12,Journal,40,48;1954;1155;485;659;143;22;1524;1156
959,Southern commercial tell walk.,2004,https://doi.org/10.1000/698031,492,Conference,20,1285;1200;1080;406
960,Western open argue fear recent general.,2018,https://doi.org/10.1000/332613,208,Conference,40,414;960;884;705;1955;405;461;1407;1695
961,Medical note should town campaign might.,2021,https://doi.org/10.1000/539604,448,Conference,7,138;1125;37;1611;1896;67;1974;1593;57
962,Any public series final however pass design.,1995,https://doi.org/10.1000/172026,178,Journal,46,1548;611;1705;831;202;1237;108;1994;482;1253
963,Or start majority main.,2004,https://doi.org/10.1000/665281,142,Journal,39,708;543;1974;1968;287;1129;1641
964,Behind back become economic.,2000,https://doi.org/10.1000/795844,404,Journal,47,749;1746;661;1353;329
965,Direction argue year.,2005,https://doi.org/10.1000/886741,207,Journal,15,746;1292;1563;1308;940
966,Simply someone get few hope.,2010,https://doi.org/10.1000/672391,151,Conference,42,1027;443;1843;1985;548;1678;1147;1203;300
967,News road sign.,2021,https://doi.org/10.1000/621002,485,Conference,48,20;919;47;1679;388;114;406;1174;1903
968,Myself and close now state in.,2001,https://doi.org/10.1000/249633,495,Journal,27,422;342;135
969,Cut nor money remember.,1991,https://doi.org/10.1000/561406,36,Conference,1,838;1594;1789;723;673;1455;314
970,Mouth your race start as.,1994,https://doi.org/10.1000/330989,249,Journal,18,644
971,Body paper standard.,2019,https://doi.org/10.1000/189696,139,Journal,39,77;1951;1581;564;840;664;450;775
972,Gas them measure.,1994,https://doi.org/10.1000/528276,444,Conference,31,551
973,Paper charge growth like.,2025,https://doi.org/10.1000/824907,178,Conference,37,940;731;1322;1106;304;1866
974,Buy about prove kid enjoy.,2005,https://doi.org/10.1000/163656,80,Conference,29,132;1650
975,Power music they there student.,2021,https://doi.org/10.1000/687196,378,Journal,35,864;471
976,Record spring lot something glass.,2025,https://doi.org/10.1000/718071,287,Journal,39,365
977,Spend key front population act yes.,2005,https://doi.org/10.1000/970580,366,Journal,29,110;627;81;352;137;1896;1986
978,Want almost thank.,1991,https://doi.org/10.1000/289680,391,Conference,15,367;1680;986;626;7;796;278;1241
979,He reveal according north concern threat.,2003,https://doi.org/10.1000/694564,229,Conference,47,1734;1639;41;1317;1717;1531;654;351
980,Dinner least support road writer hotel.,2022,https://doi.org/10.1000/623983,292,Journal,35,173;1187
981,Letter million public in more father.,2011,https://doi.org/10.1000/960488,470,Conference,24,810;678;882;684;1954;148;952;385
982,Property certain work plan seem.,2009,https://doi.org/10.1000/647204,54,Conference,30,775;1443;100;1457;1420;1831
983,East church here machine strong.,2016,https://doi.org/10.1000/518454,270,Journal,16,1284;708
984,Describe industry up hour.,2024,https://doi.org/10.1000/604705,150,Conference,31,1990;1017;860;319;1727;1692;1401;795
985,Win purpose guess.,2024,https://doi.org/10.1000/685522,476,Conference,47,191;1837;876
986,Field hot travel memory rest.,2004,https://doi.org/10.1000/270429,352,Conference,20,654;1651;1250;963;87;336;1535;816;167
987,Response value kid with trade ahead.,2019,https://doi.org/10.1000/229586,184,Conference,3,1777;772;602;451;1954;1061;49;871;1726;1558
988,Character minute card operation life.,2018,https://doi.org/10.1000/557475,106,Conference,50,1017;1844;1046;1262;900;822;436
989,South edge draw wrong seem newspaper.,1997,https://doi.org/10.1000/729072,83,Journal,2,1142;1186;457;730
990,With cause big.,2000,https://doi.org/10.1000/335716,431,Journal,15,881;458;293;459;1454;771;181;1432
991,Record painting mission sometimes huge.,2020,https://doi.org/10.1000/612239,390,Journal,9,1289;1097;303;1707;914;1886;593
992,Especially line expert.,2018,https://doi.org/10.1000/150204,416,Journal,46,1512;1746
993,Wear dog task even.,2015,https://doi.org/10.1000/957934,318,Conference,5,898;1812;1480;1074
994,Appear PM in.,2015,https://doi.org/10.1000/948281,337,Conference,2,1624;1906;629
995,Society surface where rule that data.,2003,https://doi.org/10.1000/654910,418,Journal,3,461;379;740;1459;873;1830
996,This question effort.,1993,https://doi.org/10.1000/160626,3,Conference,11,435
997,Above institution involve kind.,2017,https://doi.org/10.1000/904844,163,Journal,17,1181;12;990;1884;6
998,Behavior wall center ever measure.,2024,https://doi.org/10.1000/263548,128,Conference,29,594;706;838;614;1200;70
999,Inside human behind prepare.,2018,https://doi.org/10.1000/618708,298,Journal,49,431;486;1685;482;746;81;1463
1000,Ready think improve.,1995,https://doi.org/10.1000/116516,427,Journal,10,1315;501;1680;4;1341;1382
1001,Pay forward evening from.,1999,https://doi.org/10.1000/435281,363,Journal,43,534;432
1002,Assume born six.,2018,https://doi.org/10.1000/533800,347,Conference,25,1026;381
1003,Some total edge news leave project.,2008,https://doi.org/10.1000/799033,185,Conference,47,749;56
1004,Environmental ever hear wind.,2002,https://doi.org/10.1000/792476,352,Journal,41,746;327;101;1359;1593;1970
1005,So any small.,2017,https://doi.org/10.1000/891790,3,Conference,41,730;962
1006,Mission style world people.,2009,https://doi.org/10.1000/581743,354,Journal,11,1401
1007,Special pass group executive fire century.,1993,https://doi.org/10.1000/963701,422,Journal,14,514;1441;1302;117;867
1008,Sign general idea evening would.,2000,https://doi.org/10.1000/535045,78,Conference,27,1352;271
1009,Poor type policy.,2023,https://doi.org/10.1000/425937,416,Journal,46,1297;1394;534;478;773;1913;481;79
1010,Total marriage risk some eat.,2001,https://doi.org/10.1000/103167,497,Conference,45,990;1499;1953;456;1380;763;1883;1397;73;205
1011,Analysis only wonder hotel.,1990,https://doi.org/10.1000/451360,239,Journal,15,1751;1903
1012,Recently actually rather mouth by growth.,2020,https://doi.org/10.1000/646876,100,Journal,43,211;376;1613;1263;10;1698;1168;852
1013,Age arm million name down.,2015,https://doi.org/10.1000/965603,283,Journal,40,1443;248;772;809;1255;300;567;1166;1547;1
1014,Rise loss hotel full.,2005,https://doi.org/10.1000/400439,245,Journal,35,1246;429;421;866;937;1266;640;373;1805
1015,Always ready whole decade by certain.,1993,https://doi.org/10.1000/347184,332,Journal,30,1437;164;1188;1796;728;51;287;922;521;1229
1016,Feeling light western behind ten free.,2019,https://doi.org/10.1000/248259,179,Conference,23,1598
1017,Home brother have poor.,1999,https://doi.org/10.1000/908802,210,Journal,14,1750;1237;101;452;750;1758;1234;1541
1018,Amount think everything.,2023,https://doi.org/10.1000/320628,371,Journal,7,746;1057;536;1769;1084;1694;1112
1019,Business war public effect black anything.,2020,https://doi.org/10.1000/790204,108,Journal,21,442;934;1102;1208;427
1020,From why hope.,2000,https://doi.org/10.1000/445725,387,Journal,4,1236;1514;827;456;862;1417;1912
1021,Computer stage above whom.,2012,https://doi.org/10.1000/839628,496,Journal,24,1474;83;1784;1954;1104;10;408;659
1022,Industry establish decide almost husband.,2007,https://doi.org/10.1000/540916,276,Conference,17,920;549;1354
1023,Despite put a cause safe ability.,2010,https://doi.org/10.1000/536435,178,Journal,49,1541;403
1024,Worker others anyone.,2013,https://doi.org/10.1000/540281,135,Journal,25,1334;1344;131
1025,May store rule another century.,2009,https://doi.org/10.1000/746937,31,Conference,30,456
1026,Should Republican trade try on.,1996,https://doi.org/10.1000/136592,43,Conference,22,878;1721
1027,Before cell song ok audience.,2013,https://doi.org/10.1000/257400,212,Journal,30,1188;1424;1976
1028,Need what education town tax.,2000,https://doi.org/10.1000/940714,95,Conference,26,1841;1120;1947;1934;79;973;963;1755;858
1029,Practice recognize in store hit old.,1997,https://doi.org/10.1000/239434,289,Conference,7,436
1030,Check public laugh.,1997,https://doi.org/10.1000/964077,155,Conference,45,1616
1031,Support spend team.,2021,https://doi.org/10.1000/358076,316,Journal,30,582;345;1536;1748;1314;1818;938;156;1313;1328
1032,Four wrong boy when.,2011,https://doi.org/10.1000/723247,492,Journal,49,307;1794;1727;1026;1270;1110
1033,Into baby mention practice yeah check.,2013,https://doi.org/10.1000/691514,494,Conference,32,593;812;819;1044;1574;157;1154
1034,Move product ever.,2015,https://doi.org/10.1000/313254,41,Conference,26,16;615;154;1752;1891;1432;510;1488;251;754
1035,That first research hour.,2008,https://doi.org/10.1000/499040,5,Journal,14,1644;1268;1604;153;1458
1036,Consumer method baby serious.,1997,https://doi.org/10.1000/660699,17,Journal,43,1272
1037,Energy whole else thousand star analysis.,2023,https://doi.org/10.1000/892298,390,Journal,45,1544;1299;777;1697;28;147;692;185;1802
1038,Major provide hold note add.,2023,https://doi.org/10.1000/319915,191,Conference,47,234;1613;712;1260;11;859;222
1039,Physical forget true lose.,2014,https://doi.org/10.1000/733430,46,Journal,27,309;929;1447;1730;543;1384;1682;717;25
1040,Produce technology hit onto.,2023,https://doi.org/10.1000/797112,15,Journal,29,94;275;1490;740;1757;627;1983;795;767
1041,Conference company best education include quality.,1998,https://doi.org/10.1000/467497,208,Journal,34,979;543;1941;319;1120;1733;1681;162
1042,Behavior now phone site important.,2010,https://doi.org/10.1000/680200,91,Conference,31,924;1231;1822
1043,Lose American trouble owner.,1998,https://doi.org/10.1000/861490,125,Journal,41,134;1902;1927;146;1089
1044,Debate environment full.,1999,https://doi.org/10.1000/398845,488,Conference,30,1769;1223;648;838;694;738;61;1145;1245
1045,Down explain people wrong war partner.,1990,https://doi.org/10.1000/328852,82,Conference,3,879
1046,Economy guess seat store conference.,2001,https://doi.org/10.1000/646286,369,Conference,19,1522;969;1657;330;121;1537;155;543;241
1047,People space heart sister teacher use.,2020,https://doi.org/10.1000/523997,224,Conference,13,603;1332
1048,Air choose a I.,2022,https://doi.org/10.1000/429467,410,Conference,25,1471;1907;1669;1121;620;781;1441;1713
1049,Begin small black science half identify.,2018,https://doi.org/10.1000/475687,54,Conference,43,198;485
1050,Event remember south under event magazine.,2014,https://doi.org/10.1000/453558,297,Conference,14,902
1051,Miss board per always second nothing.,2004,https://doi.org/10.1000/117763,332,Conference,45,1690;393;86;1788;171
1052,Determine it guess option suggest third.,2025,https://doi.org/10.1000/878368,36,Journal,5,274
1053,Live check own time bar option.,2020,https://doi.org/10.1000/282322,442,Journal,49,613;1805;1859;598;1564
1054,Exactly throughout audience reveal much.,2016,https://doi.org/10.1000/342802,470,Journal,9,1826
1055,Pay there list least.,1990,https://doi.org/10.1000/962953,112,Journal,26,1668;1872;1328;1945;381;1452;499;508;1148
1056,Tough source great bag data respond.,2018,https://doi.org/10.1000/256472,472,Conference,11,400
1057,Establish tell environment.,1997,https://doi.org/10.1000/677923,112,Conference,13,1567
1058,Drug group customer.,2021,https://doi.org/10.1000/534979,278,Journal,44,1715;1815;1004;755;1378;1282;547
1059,Drop tend certain ground tough.,2011,https://doi.org/10.1000/441068,467,Journal,14,907;248;245;233
1060,Worry believe instead night resource.,1997,https://doi.org/10.1000/675398,8,Journal,26,1544;562;627;537
1061,Fight any build prove box.,2018,https://doi.org/10.1000/326550,345,Journal,45,348;733;1877;356
1062,Offer example instead true task mention use.,2021,https://doi.org/10.1000/874250,0,Conference,40,647
1063,Matter quickly over clear.,2014,https://doi.org/10.1000/635046,210,Conference,32,410;179;238
1064,Job radio peace stay religious.,2020,https://doi.org/10.1000/772228,195,Journal,29,853;358;1109;1229;936;1189
1065,This head pattern water.,1993,https://doi.org/10.1000/222635,284,Journal,10,1596;1167;190;934;1436;249;744;1036
1066,Describe agency kid.,2006,https://doi.org/10.1000/568295,493,Journal,17,271;432;929;121;477;96;1230;765
1067,Big worry series example.,2017,https://doi.org/10.1000/276394,428,Conference,32,41;1346
1068,Property station make wait direction everything.,2014,https://doi.org/10.1000/858214,28,Journal,24,237;1287;1886;769;156;1131
1069,Leg drop approach interesting guess early.,1991,https://doi.org/10.1000/167169,88,Journal,43,1686;840;1326;1107;1175;1312
1070,Open agreement education.,2007,https://doi.org/10.1000/312793,279,Conference,7,835;236;229;1753;1608
1071,Plan owner structure listen administration.,2018,https://doi.org/10.1000/325450,188,Journal,19,356;1345;784;359;1511;220;1363;1095;1723;1509
1072,Else oil very spring.,2025,https://doi.org/10.1000/559732,181,Journal,21,1373;532;1482
1073,Season media type authority.,2001,https://doi.org/10.1000/486937,322,Journal,41,231;722;1815
1074,Meeting character this adult hot family.,2003,https://doi.org/10.1000/696035,414,Conference,44,102;1839;1863;561;531;1724;1519;1759;1066;396
1075,Maybe whatever hour thus guy.,2012,https://doi.org/10.1000/121343,337,Journal,18,476;1422
1076,Case moment member radio.,1993,https://doi.org/10.1000/200214,344,Conference,24,1580;678;229;1768;1592;131;645
1077,Power we black.,1994,https://doi.org/10.1000/724976,371,Conference,15,1682;765;110
1078,Less behind treatment west government.,2025,https://doi.org/10.1000/766016,460,Journal,31,1127;375;1177
1079,None traditional woman.,2005,https://doi.org/10.1000/597417,100,Journal,33,760;798;1809;1923;297;1735;1458
1080,Suddenly participant perform she.,2008,https://doi.org/10.1000/700916,51,Journal,48,1018;587;1727;1759;1876;1053;539;1539
1081,Relationship event common street.,2018,https://doi.org/10.1000/888227,243,Journal,41,386
1082,Simply worry statement sport recent.,2023,https://doi.org/10.1000/439575,239,Conference,42,688;561;728;1858;262;439;1712;969
1083,Or dinner report animal become.,2002,https://doi.org/10.1000/524890,378,Conference,26,1976;275;1788;1269
1084,Dinner rule feeling similar.,2015,https://doi.org/10.1000/560115,127,Conference,46,1590;343;348;1276;445;1619;548;919;210;377
1085,Film their or.,2015,https://doi.org/10.1000/994149,91,Journal,1,1785;1682;1907;320;462;1023;1825;1957;210;447
1086,Entire identify second.,2015,https://doi.org/10.1000/565718,413,Journal,40,461;1207
1087,Season although maintain voice animal point.,2012,https://doi.org/10.1000/482778,36,Journal,16,656;109;1910;1422;1435;616;37;847
1088,Resource resource perform chance from.,1994,https://doi.org/10.1000/107257,454,Journal,5,451;1670;1899;1365
1089,Plant avoid job pass hard.,1995,https://doi.org/10.1000/964347,440,Conference,49,934;133;1392;1146;898;439
1090,Single course floor.,2018,https://doi.org/10.1000/745779,85,Conference,24,390;1917;37;1597;1554
1091,Feel really effort when.,2002,https://doi.org/10.1000/456471,125,Journal,19,1554;1237;55
1092,Enjoy garden friend detail smile build.,2011,https://doi.org/10.1000/323755,209,Journal,3,183;1898;1795;713
1093,Trip through week walk store.,2022,https://doi.org/10.1000/385623,86,Conference,7,1591;873;278;378;1488;1029;127;466;337;921
1094,Response time dark quite hit clear.,2010,https://doi.org/10.1000/941832,216,Conference,21,1433;742;249
1095,Value more become statement wide mean.,1990,https://doi.org/10.1000/654645,265,Journal,31,1632;657;629;1538;1323;677;1837;183;1705
1096,Rest find evening modern.,1997,https://doi.org/10.1000/802241,256,Conference,2,274;1530;544;1244;256;685
1097,Campaign another yet.,2024,https://doi.org/10.1000/440527,144,Conference,12,10;1959;1427;417;550
1098,Rise total safe soldier.,2007,https://doi.org/10.1000/923856,429,Conference,6,795;491;991;1318;174;800;1944;217
1099,Direction cut would tonight protect.,2002,https://doi.org/10.1000/304319,322,Journal,43,150;606;1343;1712;1008;667;1305
1100,Deal audience lose within address full.,1997,https://doi.org/10.1000/162362,426,Conference,8,59;1290;733;664;332;690;1680;1690;192;1200
1101,Property finally yourself show.,2017,https://doi.org/10.1000/445068,246,Conference,4,442;1400;1082;230;1038;105
1102,Agree could sure forget month.,2014,https://doi.org/10.1000/200975,400,Journal,16,1187;1093
1103,Step business into apply.,1996,https://doi.org/10.1000/686285,266,Conference,37,1209;1960;1325;810;172;919;766;1389;477
1104,Process need hope military.,2018,https://doi.org/10.1000/940329,261,Conference,12,1371;64;918;1990;778;103;298
1105,Woman message let physical.,2023,https://doi.org/10.1000/749010,105,Journal,45,1513;1753;1526;1207;1720;250;1246;316
1106,Then country lose third enter.,2009,https://doi.org/10.1000/218600,336,Conference,35,187;1685;1383;118;1771;1476;1427;967;1241;701
1107,True whose know push someone.,2001,https://doi.org/10.1000/907106,155,Journal,9,99;1916;558
1108,My rule top money remember study.,2013,https://doi.org/10.1000/947952,469,Conference,16,336;819;1866
1109,Half bit people find.,1990,https://doi.org/10.1000/831011,456,Conference,40,470;351;1794
1110,Such these bill together high.,2021,https://doi.org/10.1000/548150,481,Journal,41,1570;247;542;452;1692;976;52
1111,Oil box information adult interesting note.,2025,https://doi.org/10.1000/954485,153,Journal,36,1507;1081;1562;618;492;872;1348;1077
1112,Point memory part table father.,2001,https://doi.org/10.1000/740225,347,Conference,18,1903;189;219
1113,Buy true best today spring.,1996,https://doi.org/10.1000/123770,70,Journal,10,467;1115;490;357;423;915;1854;1345
1114,Season lay yard end side.,2023,https://doi.org/10.1000/537133,269,Journal,8,895;1294;395;728;1486
1115,Charge author success concern.,2025,https://doi.org/10.1000/883590,88,Journal,7,1328
1116,Professional international success live wonder friend.,2011,https://doi.org/10.1000/405461,399,Conference,5,1298;219;679;1606;860;1938;249;161;901
1117,Often war evening concern.,1993,https://doi.org/10.1000/325315,319,Conference,9,127;1384;1688;773;456;416;265;1485
1118,Wear under outside certain.,2006,https://doi.org/10.1000/162083,11,Conference,18,107;391;33;1977;158;215;1355;1368
1119,Thought door left summer.,2001,https://doi.org/10.1000/869260,429,Conference,24,158;73;484;750;1776;1763;1041
1120,My great factor human analysis ready.,2019,https://doi.org/10.1000/526697,357,Conference,9,1980;1476;1159;1643;669;905;242;1816;852;480
1121,Talk class personal until.,2003,https://doi.org/10.1000/639710,17,Journal,39,898;1662;486;1361;360;474;1916
1122,These serious practice bed.,2017,https://doi.org/10.1000/985364,258,Conference,7,1918;983;1661;345;1328;1844;366;1838;685;1273
1123,Skill thank effect.,1994,https://doi.org/10.1000/662619,161,Conference,27,727;104;293;1901;1436;1390;1078;1008;405
1124,In material commercial less not.,2005,https://doi.org/10.1000/511669,408,Journal,37,410;1643;1644
1125,Get series type far middle.,2005,https://doi.org/10.1000/854666,350,Journal,2,1343;1605;1957;278;249;1462;1380;1340;1000
1126,Page history consider the down the.,2004,https://doi.org/10.1000/635596,463,Journal,49,233;746;945;1541;949;185
1127,Economy defense nation change.,1993,https://doi.org/10.1000/569343,388,Conference,14,649;1330
1128,House on expert nothing.,1998,https://doi.org/10.1000/649568,296,Conference,50,1756;1626;85;296;464;417
1129,Include prepare station suffer possible.,2004,https://doi.org/10.1000/652416,90,Conference,35,695;1627;1281;1182;661;1308;355;1294;851;1640
1130,Support turn water reduce.,1999,https://doi.org/10.1000/189642,163,Conference,11,735;1887;1595;1110;991;749;1131;385
1131,Hair must west first.,2024,https://doi.org/10.1000/731607,403,Conference,24,1295;1341;1690;389;771;186
1132,There raise fast.,1998,https://doi.org/10.1000/931259,54,Journal,25,1436;1165;1119;274
1133,Deep PM history.,2009,https://doi.org/10.1000/328171,358,Conference,33,1724;1109;592;1361
1134,Around that manage just authority.,2013,https://doi.org/10.1000/126219,335,Journal,23,1921;915;1084;596
1135,Campaign appear onto relationship present.,2011,https://doi.org/10.1000/830924,364,Journal,42,906;721;487;1090
1136,Remember six reality.,2025,https://doi.org/10.1000/894648,468,Conference,41,315;1351;1974;295;1022
1137,Same every professional its.,1995,https://doi.org/10.1000/427963,294,Conference,24,1962
1138,Power size air officer.,2022,https://doi.org/10.1000/228433,344,Conference,34,507;66;77
1139,Black talk sound play letter clear.,2020,https://doi.org/10.1000/412324,310,Journal,31,405;1173;1921
1140,Strong water art set about student.,2003,https://doi.org/10.1000/483457,248,Conference,43,739
1141,Simple worker leader chair these race.,1992,https://doi.org/10.1000/564118,83,Conference,31,1539
1142,Behind weight often support home century.,2001,https://doi.org/10.1000/217758,330,Journal,30,1883;1092;1155;1946;93;528;1876;706;1499;1898
1143,Impact plan left yet buy matter.,1995,https://doi.org/10.1000/770638,65,Conference,19,1892;131;295;1276;1368;1168;1606;1734
1144,Here collection get.,1990,https://doi.org/10.1000/414712,19,Journal,15,1725;682;1578;300;1859
1145,Democrat the word beautiful someone top.,2013,https://doi.org/10.1000/199357,307,Conference,31,1523;45;730;262
1146,Important into event long imagine left.,1999,https://doi.org/10.1000/595845,269,Journal,8,1671
1147,Machine money safe.,1991,https://doi.org/10.1000/727414,132,Journal,9,263;1388;1212;1480;1749;1523;74
1148,Movement can better.,2003,https://doi.org/10.1000/906050,202,Conference,46,1975;1706;1829;789;1613;1983;354;1134
1149,According course back sure.,1992,https://doi.org/10.1000/786899,365,Conference,29,1616
1150,Level specific wall wait crime.,1996,https://doi.org/10.1000/779421,457,Conference,36,61;664;311
1151,Anyone common buy student family.,1998,https://doi.org/10.1000/501372,217,Conference,39,923;1853;205;805;1985;107
1152,They event final above.,2021,https://doi.org/10.1000/708102,488,Journal,16,1003;1409;1237;653;1896;1071;1864
1153,Tell guy less.,2003,https://doi.org/10.1000/297000,139,Conference,32,1667;309;1909;421;1276;1371;1950;113;511
1154,Other probably attorney management position.,1993,https://doi.org/10.1000/418460,79,Journal,22,1068;1330;1231;133;33;801;1230;829
1155,List recent behind.,2007,https://doi.org/10.1000/255429,13,Conference,34,690;720;707;178
1156,Ready wish soldier.,2021,https://doi.org/10.1000/306573,314,Journal,6,42;126;26;150;1442;860
1157,Include great indicate like rise citizen.,2020,https://doi.org/10.1000/958004,252,Conference,8,1044;75;1910;1433;910;1178
1158,Main quite foreign.,1990,https://doi.org/10.1000/216345,439,Conference,4,836
1159,Why recent with put break style.,2009,https://doi.org/10.1000/992850,376,Journal,35,1065;452;1110
1160,My work agency above.,2020,https://doi.org/10.1000/161340,261,Conference,16,774;838;451;1539;727
1161,Especially from former amount.,2019,https://doi.org/10.1000/963301,409,Conference,36,1474;1238;1994;1068
1162,Clearly doctor happen low.,2021,https://doi.org/10.1000/672134,232,Journal,12,863;1610;1498;87;1070;1109;435;15;797
1163,Two seem open while.,2000,https://doi.org/10.1000/906455,42,Conference,7,339;1816;405
1164,Easy perform big.,2023,https://doi.org/10.1000/242945,110,Conference,16,1324;717;1392;810;1202;1584;1010
1165,Spend option break letter.,2010,https://doi.org/10.1000/836517,239,Conference,18,1611;393;1482;1734
1166,Local make eye true everybody coach.,2004,https://doi.org/10.1000/130529,366,Conference,7,546;102;28;1363;1840;169;689;1252;1321;1479
1167,Those ago drug major give return.,2022,https://doi.org/10.1000/184101,128,Conference,41,545;1320;1327;936;586
1168,Today message short where.,2025,https://doi.org/10.1000/476462,86,Conference,41,399;1903;255;366;1265;185;1248;925;470;967
1169,Before small I him go.,2014,https://doi.org/10.1000/901599,173,Journal,50,550;1247;1456
1170,All friend step item stop.,2001,https://doi.org/10.1000/816230,273,Journal,16,11;532;701;554;728
1171,Response important process they media.,2012,https://doi.org/10.1000/523886,94,Conference,5,1043;1017;32;1954;300;931;1336
1172,Nice somebody what.,1997,https://doi.org/10.1000/831948,412,Journal,19,929;86
1173,Yeah travel ask.,2010,https://doi.org/10.1000/770808,89,Journal,39,1137;1444;1176;373
1174,Fact upon effect police bed build.,2012,https://doi.org/10.1000/613751,88,Journal,48,81;338
1175,Try message allow benefit.,2023,https://doi.org/10.1000/743935,484,Conference,8,1189;1602
1176,Continue choose enough food.,2018,https://doi.org/10.1000/772239,174,Journal,8,743;912;654;1028;1041;606;380;906
1177,Knowledge health back cold play democratic.,2005,https://doi.org/10.1000/660754,126,Journal,21,52
1178,Hand yet especially share include.,2007,https://doi.org/10.1000/613547,456,Conference,11,1083;775;1619;1139;466;664;1412
1179,Particularly able walk rich give.,2001,https://doi.org/10.1000/511336,263,Journal,19,1902;588;1708
1180,Rich develop mind some others.,2018,https://doi.org/10.1000/900454,94,Conference,41,945;1792;199;1069;890;1325;1816;826;1221
1181,Imagine short want away game.,1992,https://doi.org/10.1000/367386,216,Conference,10,780;1879;804
1182,Factor hope region station ready admit realize.,2003,https://doi.org/10.1000/906858,105,Journal,42,1830;427;1207;736;425;1057;694
1183,Place thus rate maybe from.,2010,https://doi.org/10.1000/709123,434,Conference,26,481;1815;326;435;14;1400;1197;157;827
1184,House speech alone care window fight.,2014,https://doi.org/10.1000/260771,45,Journal,38,1251;704
1185,Deep keep as maintain hour also.,2022,https://doi.org/10.1000/964800,17,Journal,43,1737;949;830
1186,May threat who test and keep.,1999,https://doi.org/10.1000/422578,299,Conference,40,1046;408;70;1619;1013;656;1448;886
1187,If record move cut court evidence.,2017,https://doi.org/10.1000/210949,289,Journal,48,472;432;623;1244;1708;1641;248;388;242;1151
1188,Opportunity fish way them.,2001,https://doi.org/10.1000/921224,279,Conference,15,1851;1514;280;917;197;1561;1391;1511
1189,Develop actually bar difficult figure clear.,2015,https://doi.org/10.1000/775417,318,Conference,33,1832;1044;1055;475;1331;1947;1234;1479
1190,International she despite.,2018,https://doi.org/10.1000/359478,373,Conference,47,1399;1214;1057;1078
1191,Blue memory arm reality wide.,1994,https://doi.org/10.1000/812616,101,Conference,12,361;190;706;1350;302;511;385;546;1920;914
1192,Marriage worker notice benefit.,2007,https://doi.org/10.1000/301864,314,Journal,45,799;1786;1931;171;1558;395;555;945;1487
1193,Meet accept put window road eight.,2018,https://doi.org/10.1000/141029,206,Journal,34,1376;183;1042;593;1663;1682;707;1686
1194,Political relate argue will cell order.,2018,https://doi.org/10.1000/936964,91,Conference,13,1446
1195,Indeed task couple.,1994,https://doi.org/10.1000/659201,50,Journal,34,498;1720;640;1702;1594;1426;1338;991
1196,Lawyer across movie between result behavior.,2003,https://doi.org/10.1000/888268,334,Conference,5,380
1197,Month manage wonder young word.,2020,https://doi.org/10.1000/147790,237,Conference,29,492;227;225;1632;1621;1015;1760;832;9
1198,Little finally best reduce.,2013,https://doi.org/10.1000/726507,91,Conference,36,637;714;1779;1521;866;1443
1199,Long visit red truth father.,2001,https://doi.org/10.1000/484388,463,Conference,12,1020;1830;1468;322;636;1218
1200,Thank time security industry so.,2000,https://doi.org/10.1000/141188,58,Conference,50,178;764
1201,This act something wife measure true.,2012,https://doi.org/10.1000/849327,179,Journal,41,1455;332;1833
1202,Forward fine small.,2024,https://doi.org/10.1000/721109,466,Conference,39,1156;974;1251;1215;685;1704;1948
1203,Couple provide plant store.,2011,https://doi.org/10.1000/761841,273,Conference,17,80;712;633;1982;1661;1573;366
1204,Technology result others garden expert total.,2003,https://doi.org/10.1000/647630,48,Conference,45,1652;21;431;1002;1191;275;407
